,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
3978,78144,"Sibert, Sam",Sam Sibert,0,1972,1972,HISTADD_sam_sibert,sam_sibert,0,,,,,,Y,00
3979,78145,"Sibley, Mark",Mark Sibley,0,1973,1973,HISTADD_mark_sibley,mark_sibley,0,,,,,,Y,00
3980,78146,"Sichting, Jerry",Jerry Sichting,0,1980,1989,HISTADD_jerry_sichting,jerry_sichting,0,,,,,,Y,00
3981,78147,"Siegfried, Larry",Larry Siegfried,0,1963,1971,HISTADD_larry_siegfried,larry_siegfried,0,,,,,,Y,00
3982,78148,"Siewert, Ralph",Ralph Siewert,0,1946,1946,HISTADD_sky_siewert,ralph_siewert,0,,,,,,Y,00
3983,78149,"Sikma, Jack",Jack Sikma,0,1977,1990,HISTADD_jack_sikma,jack_sikma,0,,,,,,Y,00
3984,78150,"Silas, James",James Silas,0,1976,1981,HISTADD_james_silas,james_silas,0,,,,,,Y,00
3985,78151,"Silas, Paul",Paul Silas,0,1964,1979,HISTADD_paul_silas,paul_silas,0,,,,,,Y,00
3986,202918,"Silas, Xavier",Xavier Silas,0,2011,2017,xavier_silas,xavier_silas,0,,,,,,Y,01
3987,202081,"Siler, Garret",Garret Siler,0,2010,2010,garret_siler,garret_siler,0,,,,,,Y,01
3988,78152,"Silliman, Mike",Mike Silliman,0,1970,1970,HISTADD_mike_silliman,mike_silliman,0,,,,,,Y,00
3989,1629735,"Silva, Chris",Chris Silva,0,2019,2022,chris_silva,chris_silva,0,,,,,,Y,11
3990,101134,"Simien, Wayne",Wayne Simien,0,2005,2006,wayne_simien,wayne_simien,0,,,,,,Y,00
3991,1627732,"Simmons, Ben",Ben Simmons,1,2016,2023,ben_simmons,ben_simmons,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,00
3992,2250,"Simmons, Bobby",Bobby Simmons,0,2001,2011,bobby_simmons,bobby_simmons,0,,,,,,Y,01
3993,200759,"Simmons, Cedric",Cedric Simmons,0,2006,2008,cedric_simmons,cedric_simmons,0,,,,,,Y,01
3994,78153,"Simmons, Connie",Connie Simmons,0,1946,1955,HISTADD_connie_simmons,connie_simmons,0,,,,,,Y,00
3995,78154,"Simmons, Johnny",Johnny Simmons,0,1946,1946,HISTADD_johnny_simmons,johnny_simmons,0,,,,,,Y,00
3996,203613,"Simmons, Jonathon",Jonathon Simmons,0,2015,2018,jonathon_simmons,jonathon_simmons,0,,,,,,Y,01
3997,1628424,"Simmons, Kobi",Kobi Simmons,1,2017,2022,kobi_simmons,kobi_simmons,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11
3998,1489,"Simmons, Lionel",Lionel Simmons,0,1990,1996,lionel_simmons,lionel_simmons,0,,,,,,Y,00
3999,1750,"Simon, Miles",Miles Simon,0,1998,2002,miles_simon,miles_simon,0,,,,,,Y,00
4000,1630250,"Simonovic, Marko",Marko Simonovic,1,2021,2022,marko_simonovic,marko_simonovic,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11
4001,1629014,"Simons, Anfernee",Anfernee Simons,1,2018,2023,anfernee_simons,anfernee_simons,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,01
4002,54,"Simpkins, Dickey",Dickey Simpkins,0,1994,2001,dickey_simpkins,dickey_simpkins,0,,,,,,Y,00
4003,202067,"Simpson, Diamon",Diamon Simpson,0,2011,2011,diamon_simpson,diamon_simpson,0,,,,,,N,01
4004,78157,"Simpson, Ralph",Ralph Simpson,0,1976,1979,HISTADD_ralph_simpson,ralph_simpson,0,,,,,,Y,00
4005,1630285,"Simpson, Zavier",Zavier Simpson,0,2021,2023,zavier_simpson,zavier_simpson,0,,,,,,Y,11
4006,1591,"Sims, Alvin",Alvin Sims,0,1998,1998,alvin_sims,alvin_sims,0,,,,,,Y,00
4007,78160,"Sims, Bob",Bob Sims,0,1961,1961,HISTADD_bob_sims,bob_sims,0,,,,,,Y,00
4008,201235,"Sims, Courtney",Courtney Sims,0,2007,2008,courtney_sims,courtney_sims,0,,,,,,Y,01
4009,78159,"Sims, Doug",Doug Sims,0,1968,1968,HISTADD_doug_sims,doug_sims,0,,,,,,Y,00
4010,203156,"Sims, Henry",Henry Sims,0,2012,2015,henry_sims,henry_sims,0,,,,,,Y,01
4011,1631301,"Sims, Jaylen",Jaylen Sims,0,2023,2023,jaylen_sims,jaylen_sims,0,,,,,,Y,11
4012,1630579,"Sims, Jericho",Jericho Sims,1,2021,2023,jericho_sims,jericho_sims,1610612752,New York,Knicks,NYK,knicks,knicks,Y,11
4013,78161,"Sims, Scott",Scott Sims,0,1977,1977,HISTADD_scott_sims,scott_sims,0,,,,,,Y,00
