Player,O_POSSESSIONS,O_RAPM_2021-23,D_POSSESSIONS,D_RAPM_2021-23,TOTAL_POSSESSIONS,RAPM_2021-23
Aleem Ford,134,-0.31,140,-0.52,274,-0.83
Bismack Biyombo,2736,0.26,2728,0.07,5464,0.33
Serge Ibaka,2158,-1.78,2160,-0.01,4318,-1.79
Paul Watson,324,-0.53,321,-0.46,645,-0.99
Donovan Mitchell,9365,3.1,9292,-0.21,18657,2.89
Jamorko Pickett,364,0.06,361,0.01,725,0.06
Brandon Williams,1311,-1.53,1302,-1.59,2613,-3.12
Jaren Jackson Jr.,8031,1.72,8009,1.9,16040,3.62
Cam Reddish,4059,-3.04,4085,-1.86,8144,-4.9
Terance Mann,8333,1.21,8379,0.78,16712,1.99
Shake Milton,5523,0.48,5522,-0.3,11045,0.18
Onyeka Okongwu,5786,0.77,5800,0.58,11586,1.35
Kevin Knox II,2438,-2.05,2435,-1.47,4873,-3.51
Josh Okogie,3770,-0.41,3796,2.1,7566,1.69
Haywood Highsmith,2244,-1.83,2272,-0.01,4516,-1.84
Tyus Jones,7123,0.3,7121,-0.03,14244,0.27
Vlatko Cancar,2138,-0.56,2137,-0.44,4275,-1.0
Juancho Hernangomez,2092,1.16,2105,-1.68,4197,-0.52
Moses Wright,30,-0.03,30,-0.19,60,-0.22
Kelly Olynyk,5537,1.41,5513,-0.96,11050,0.44
Matt Thomas,922,0.24,915,0.24,1837,0.48
LaMelo Ball,7717,1.85,7664,-1.53,15381,0.32
Jordan Nwora,4899,-0.62,4925,-2.74,9824,-3.36
Sam Dekker,1,-0.03,2,-0.07,3,-0.1
Shaquille Harrison,302,0.24,299,0.08,601,0.32
Pascal Siakam,10372,2.56,10345,0.31,20717,2.87
Keldon Johnson,9177,0.65,9210,-1.22,18387,-0.56
Nik Stauskas,77,0.14,80,0.37,157,0.51
Karl-Anthony Towns,7099,1.44,7066,0.53,14165,1.97
Trendon Watford,4174,-1.1,4190,-2.64,8364,-3.74
Thaddeus Young,3275,-1.25,3287,-0.16,6562,-1.41
Marvin Bagley III,4276,-0.04,4283,-0.74,8559,-0.78
Cameron Payne,4633,0.18,4605,1.31,9238,1.49
Tomas Satoransky,1790,-1.45,1812,-0.28,3602,-1.73
O.G. Anunoby,8175,0.6,8158,1.13,16333,1.73
Kyrie Irving,6706,4.37,6674,-0.38,13380,3.99
Victor Oladipo,2542,-0.75,2547,-0.41,5089,-1.15
Cheick Diallo,67,-0.4,70,-0.36,137,-0.76
Ben McLemore,2609,-2.13,2602,-1.0,5211,-3.13
Trayvon Palmer,32,-0.22,33,0.1,65,-0.12
Cedi Osman,5955,0.94,5938,-0.48,11893,0.46
Mo Bamba,5205,-1.34,5237,-0.29,10442,-1.63
Mason Plumlee,7814,-0.26,7837,-0.54,15651,-0.8
Miles Bridges,5771,2.21,5752,1.29,11523,3.5
Caleb Martin,6793,0.54,6857,0.97,13650,1.51
Petr Cornelie,80,0.06,78,0.12,158,0.18
Doug McDermott,5327,0.13,5251,-2.94,10578,-2.81
Terence Davis,2866,1.52,2886,1.06,5752,2.58
Marcus Garrett,237,0.54,242,-0.23,479,0.31
Reggie Perry,376,-0.35,376,-0.52,752,-0.87
Tyler Hall,4,-0.07,5,-0.04,9,-0.11
Didi Louzada,264,-1.42,259,0.14,523,-1.27
Darius Bazley,5173,-3.19,5206,-0.5,10379,-3.69
Duncan Robinson,5381,-1.17,5349,-0.05,10730,-1.22
Dennis Smith Jr.,4110,-2.57,4131,2.9,8241,0.33
Reggie Jackson,7966,-1.58,7989,1.56,15955,-0.02
Xavier Tillman,3856,-1.51,3874,-0.23,7730,-1.74
Wayne Selden,37,-0.22,39,-0.07,76,-0.29
Precious Achiuwa,5623,-0.11,5641,-0.17,11264,-0.28
John Konchar,5666,0.58,5717,1.35,11383,1.93
Trey Burke,870,-1.02,868,0.25,1738,-0.77
Dean Wade,3645,-1.7,3675,2.62,7320,0.92
Gary Clark,706,0.04,728,-0.18,1434,-0.13
Jon Teske,16,-0.1,15,-0.02,31,-0.12
Tre Mann,5223,-1.63,5164,-0.32,10387,-1.95
Kent Bazemore,1134,-2.02,1141,0.41,2275,-1.61
Austin Rivers,5006,0.27,5042,-1.14,10048,-0.86
Justin Champagnie,620,0.95,621,-0.36,1241,0.59
Dwight Powell,6279,1.92,6317,0.11,12596,2.02
Gorgui Dieng,1465,-2.24,1464,-1.0,2929,-3.24
Delon Wright,5303,1.16,5325,1.5,10628,2.66
Kevin Pangos,328,-0.35,323,-0.98,651,-1.33
Tacko Fall,115,-0.06,111,0.09,226,0.03
Pat Connaughton,6449,-0.26,6461,-1.71,12910,-1.97
Grant Williams,7831,0.63,7852,-0.81,15683,-0.18
DeAndre Jordan,2448,-2.19,2459,-0.62,4907,-2.81
Cody Zeller,1155,-0.36,1158,-0.67,2313,-1.03
Scotty Hopson,35,-0.14,36,0.18,71,0.03
Justin Anderson,632,0.64,629,-0.9,1261,-0.26
Boban Marjanovic,599,0.48,595,1.67,1194,2.15
Juan Toscano-Anderson,3385,-0.73,3450,0.0,6835,-0.73
Gabriel Deck,114,-0.11,114,-0.12,228,-0.23
De'Anthony Melton,7686,0.01,7708,0.77,15394,0.78
Chandler Hutchison,48,0.02,49,0.24,97,0.26
Leandro Bolmaro,643,-0.85,645,1.13,1288,0.27
Jaime Echenique,4,-0.09,4,0.06,8,-0.03
Javonte Green,4046,1.4,4103,0.37,8149,1.77
Monte Morris,7894,2.75,7866,-1.04,15760,1.71
D.J. Augustin,1800,-0.87,1776,-1.62,3576,-2.49
Davion Mitchell,7122,-1.98,7239,0.71,14361,-1.27
Moses Brown,1284,-0.38,1286,0.2,2570,-0.18
Clint Capela,7712,2.25,7747,-0.06,15459,2.19
Isaiah Roby,2957,-1.71,2953,-0.44,5910,-2.15
Jay Scrubb,321,-0.23,325,0.19,646,-0.04
Brandon Boston Jr.,2053,-2.16,2060,0.3,4113,-1.86
James Ennis III,114,0.17,115,-0.05,229,0.12
Jalen McDaniels,5708,1.4,5743,0.16,11451,1.55
Facundo Campazzo,2463,-3.07,2471,0.13,4934,-2.94
Daniel Gafford,6085,0.31,6115,-1.49,12200,-1.18
De'Aaron Fox,9379,2.73,9357,-2.14,18736,0.58
Norman Powell,6164,-1.33,6146,-3.1,12310,-4.43
Davis Bertans,2588,0.19,2579,-0.22,5167,-0.03
Nic Claxton,6429,0.85,6543,0.82,12972,1.67
Udonis Haslem,319,-0.93,319,-0.13,638,-1.06
Frank Ntilikina,2561,-0.59,2579,2.24,5140,1.65
Ja Morant,7940,1.09,7936,0.36,15876,1.45
Romeo Langford,3266,-1.89,3312,1.02,6578,-0.86
JaQuori McLaughlin,24,-0.03,24,-0.23,48,-0.26
De'Andre Hunter,7597,-0.32,7609,-0.69,15206,-1.01
Bruce Brown,8142,-0.12,8182,-0.96,16324,-1.08
Zach Collins,4082,0.15,4070,0.11,8152,0.26
Solomon Hill,273,0.15,275,1.16,548,1.3
Terrence Ross,5710,-0.54,5639,-2.21,11349,-2.75
Markieff Morris,1349,0.0,1357,-0.1,2706,-0.1
Devon Dotson,269,0.07,270,-0.1,539,-0.03
Alex Caruso,5458,0.46,5453,3.74,10911,4.2
