Player,O_POSSESSIONS,O_RAPM_2022,D_POSSESSIONS,D_RAPM_2022,TOTAL_POSSESSIONS,RAPM_2022
Alperen Sengun,4423,1.27,4379,-1.37,8802,-0.1
Kevin Huerter,4511,1.77,4455,-0.57,8966,1.2
Davon Reed,690,-1.37,700,-0.2,1390,-1.57
Dereon Seabron,21,0.12,22,0.13,43,0.25
Day'Ron Sharpe,1135,-0.08,1127,-1.74,2262,-1.82
Kevin Knox II,1986,-1.85,1982,-0.45,3968,-2.3
Giannis Antetokounmpo,4225,2.04,4209,0.44,8434,2.48
Terence Davis,1759,0.12,1774,0.48,3533,0.6
Obi Toppin,2154,0.12,2167,-0.01,4321,0.11
Clint Capela,3602,1.16,3606,-0.5,7208,0.65
Naji Marshall,3638,0.04,3679,0.09,7317,0.13
Josh Minott,211,0.4,208,0.06,419,0.46
Juan Toscano-Anderson,1454,-1.81,1470,0.0,2924,-1.81
Julius Randle,5444,1.49,5446,-0.41,10890,1.08
John Butler Jr.,452,-0.67,454,-0.48,906,-1.14
Nikola Jokic,4753,3.99,4712,0.94,9465,4.93
D'Angelo Russell,4730,0.37,4701,0.01,9431,0.38
Michael Foster Jr.,2,-0.05,1,-0.02,3,-0.07
Kendrick Nunn,1985,-0.36,1988,-0.58,3973,-0.94
Scotty Pippen Jr.,64,-0.25,61,0.22,125,-0.03
Vit Krejci,328,0.06,325,-0.09,653,-0.03
Kenneth Lofton Jr.,352,-0.47,349,-0.78,701,-1.25
Brandon Boston Jr.,512,-0.4,503,-0.58,1015,-0.98
John Collins,4418,0.28,4420,-0.34,8838,-0.06
Ricky Rubio,1116,-1.04,1112,0.7,2228,-0.34
Al Horford,3904,1.22,3894,0.08,7798,1.3
De'Andre Hunter,4415,0.23,4425,-0.31,8840,-0.07
Furkan Korkmaz,724,-0.85,722,0.78,1446,-0.06
Luka Garza,525,1.08,512,-1.0,1037,0.08
Max Christie,1065,-1.09,1059,-0.27,2124,-1.36
