Player,O_POSSESSIONS,O_RAPM_2021,D_POSSESSIONS,D_RAPM_2021,TOTAL_POSSESSIONS,RAPM_2021
Louis King,222,-0.28,218,-0.35,440,-0.63
Kyle Guy,379,-1.21,383,-0.24,762,-1.45
Cole Anthony,4183,-0.02,4169,-0.23,8352,-0.25
DeMarcus Cousins,1447,1.15,1450,-0.67,2897,0.47
KZ Okpala,465,-0.14,474,0.11,939,-0.03
Jose Alvarado,1669,0.94,1664,1.7,3333,2.63
Malik Newman,12,-0.06,11,0.05,23,0.0
Steven Adams,4032,2.82,4006,-0.21,8038,2.61
RJ Barrett,4775,-0.71,4781,-0.35,9556,-1.06
Herbert Jones,4630,0.87,4639,0.88,9269,1.75
Dwight Howard,1971,0.11,1979,-1.36,3950,-1.25
Jahmi'us Ramsey,276,0.61,275,-1.06,551,-0.45
Bam Adebayo,3589,0.77,3564,2.31,7153,3.08
Chaundee Brown Jr.,211,-0.44,214,0.15,425,-0.29
Devontae Cacok,247,-0.14,240,0.34,487,0.2
Jared Harper,82,0.65,81,-0.39,163,0.26
Collin Sexton,643,-1.27,634,0.14,1277,-1.12
Gabriel Lundberg,95,0.33,87,0.13,182,0.46
Matisse Thybulle,3269,-0.52,3331,1.7,6600,1.18
Montrezl Harrell,3286,1.11,3280,1.18,6566,2.29
Malik Monk,4414,2.5,4368,-0.81,8782,1.69
Derrick White,4458,0.04,4479,2.31,8937,2.35
Patty Mills,4785,0.99,4728,-0.27,9513,0.72
Jae Crowder,3847,0.94,3860,1.58,7707,2.52
Rodney Hood,1431,-0.63,1433,0.08,2864,-0.55
Amir Coffey,3130,0.94,3172,-0.87,6302,0.06
Joe Johnson,3,-0.03,4,-0.12,7,-0.15
Rudy Gobert,4210,1.51,4207,2.21,8417,3.72
Kevin Huerter,4423,1.56,4445,0.51,8868,2.07
Jarred Vanderbilt,3826,1.67,3866,0.19,7692,1.86
Gabe York,48,-0.02,48,-0.03,96,-0.05
Sharife Cooper,78,-0.87,79,-0.08,157,-0.95
Thanasis Antetokounmpo,958,-0.49,968,-1.3,1926,-1.79
Charlie Brown Jr.,358,-0.89,376,0.55,734,-0.34
Mason Jones,105,0.02,105,0.37,210,0.39
Dalano Banton,1392,-0.51,1385,0.38,2777,-0.13
Malik Beasley,4151,0.16,4109,0.08,8260,0.24
Kevin Durant,4217,2.92,4234,1.87,8451,4.79
Thomas Bryant,853,-1.08,850,-0.26,1703,-1.34
Kyle Kuzma,4352,-0.48,4372,-1.55,8724,-2.03
Dylan Windler,890,-1.24,896,1.0,1786,-0.24
Jalen Brunson,4905,1.6,4892,-0.42,9797,1.18
Lou Williams,1598,-0.08,1591,-0.32,3189,-0.4
Jarron Cumberland,24,0.25,24,0.0,48,0.25
Jordan Goodwin,8,-0.13,8,-0.08,16,-0.21
Ty Jerome,1614,-1.96,1564,2.05,3178,0.08
Tyrell Terry,8,0.06,8,-0.11,16,-0.05
Mychal Mulder,479,-0.36,468,-0.37,947,-0.73
Nate Hinton,5,0.06,6,0.08,11,0.14
Jaylen Nowell,2038,2.02,2029,-0.96,4067,1.06
Armoni Brooks,1716,-0.11,1689,-0.23,3405,-0.34
Chris Paul,4337,0.86,4337,1.91,8674,2.77
Brodric Thomas,128,0.0,125,-0.05,253,-0.05
Christian Wood,4296,-0.9,4268,-0.67,8564,-1.57
Nicolas Batum,2954,-2.02,2946,0.39,5900,-1.63
Taj Gibson,1815,-0.21,1840,0.98,3655,0.77
Terry Taylor,1422,0.64,1414,-1.95,2836,-1.31
Wesley Matthews,2043,1.05,2072,0.98,4115,2.03
Damyean Dotson,36,0.09,35,-0.01,71,0.08
Fred VanVleet,4866,0.8,4848,1.39,9714,2.19
Al Horford,3979,0.76,3957,1.23,7936,1.99
Aaron Holiday,2045,-0.7,2034,0.16,4079,-0.53
Harrison Barnes,5309,0.33,5324,-1.87,10633,-1.54
Hamidou Diallo,2611,-1.37,2592,0.96,5203,-0.41
Santi Aldama,733,-0.29,740,0.55,1473,0.26
P.J. Washington,3622,1.92,3602,0.1,7224,2.02
CJ Miles,3,-0.03,4,-0.12,7,-0.15
Trey Murphy III,1728,-0.57,1714,-0.32,3442,-0.88
P.J. Tucker,3863,1.18,3861,1.03,7724,2.21
Isaiah Stewart,3644,-1.98,3648,-0.03,7292,-2.0
Kenrich Williams,2130,-0.75,2134,3.14,4264,2.39
Kira Lewis Jr.,709,-2.04,707,0.0,1416,-2.04
Rui Hachimura,1866,0.09,1873,-1.3,3739,-1.21
Cory Joseph,3206,-0.2,3184,0.32,6390,0.12
Chris Chiozza,721,-0.97,722,-0.32,1443,-1.29
Tony Snell,1640,-1.15,1631,-0.65,3271,-1.79
Danuel House Jr.,1482,-0.57,1469,0.74,2951,0.17
Danny Green,2684,0.17,2684,0.05,5368,0.22
Andre Iguodala,1197,-0.95,1211,2.3,2408,1.35
Moses Moody,1226,-0.94,1232,-0.43,2458,-1.37
Alec Burks,4521,0.9,4523,1.21,9044,2.11
Joe Wieskamp,413,-0.06,405,0.23,818,0.17
Mac McClung,52,0.07,52,0.03,104,0.1
Usman Garuba,498,1.26,498,-0.08,996,1.18
Bogdan Bogdanovic,3694,2.3,3694,0.17,7388,2.46
Stephen Curry,4510,2.31,4474,2.31,8984,4.62
Brandon Goodwin,934,-0.1,938,-1.19,1872,-1.29
Quentin Grimes,1509,-2.02,1541,0.78,3050,-1.24
Tyrone Wallace,147,0.02,156,-0.47,303,-0.44
Markus Howard,358,0.23,354,-0.58,712,-0.35
John Collins,3322,-0.17,3320,0.35,6642,0.17
Goran Dragic,1024,0.24,1012,-0.6,2036,-0.36
Frank Kaminsky,385,-0.71,381,0.89,766,0.18
Tremont Waters,108,-0.02,108,-0.3,216,-0.32
Raul Neto,2703,0.27,2708,-0.44,5411,-0.17
Jaden McDaniels,3752,-1.62,3740,0.7,7492,-0.92
D.J. Wilson,120,-0.1,119,-0.03,239,-0.13
Torrey Craig,3176,-1.26,3196,-0.97,6372,-2.23
Lindy Waters III,971,0.47,960,-0.47,1931,0.0
Jevon Carter,1820,-0.18,1840,-0.45,3660,-0.63
Dennis Schroder,3659,-2.61,3627,-0.18,7286,-2.79
Darius Garland,4823,2.93,4793,1.86,9616,4.79
Cade Cunningham,4215,0.75,4189,-0.47,8404,0.28
Kevin Love,3368,-0.36,3325,0.38,6693,0.02
Stanley Johnson,2204,1.77,2234,-1.46,4438,0.31
Evan Fournier,4694,1.12,4669,-0.62,9363,0.5
Keifer Sykes,1114,-0.31,1092,-0.35,2206,-0.65
Chris Duarte,3086,-1.11,3063,1.4,6149,0.28
Gabe Vincent,3112,-0.98,3102,0.65,6214,-0.32
Alex Len,1274,-1.07,1292,0.27,2566,-0.8
Kai Jones,122,-0.32,127,-0.02,249,-0.34
David Johnson,4,-0.04,4,-0.01,8,-0.05
Ricky Rubio,1972,-0.06,1968,3.07,3940,3.01
Troy Brown Jr.,2123,0.05,2145,-0.32,4268,-0.27
Carmelo Anthony,3717,0.49,3696,-0.71,7413,-0.21
T.J. McConnell,1324,-0.13,1326,-0.25,2650,-0.38
Rudy Gay,2078,0.72,2094,0.62,4172,1.34
Deni Avdija,3932,0.06,3952,0.91,7884,0.97
Mike Conley,4079,0.86,4060,1.79,8139,2.65
Terry Rozier,4997,0.69,4984,-0.03,9981,0.65
Nickeil Alexander-Walker,2937,-0.66,2924,-0.43,5861,-1.09
JaVale McGee,2403,0.04,2400,-0.11,4803,-0.07
Neemias Queta,242,0.04,239,0.0,481,0.04
Carlik Jones,48,-0.24,53,-0.23,101,-0.47
Scottie Lewis,14,-0.03,15,-0.06,29,-0.09
Sam Merrill,117,-0.26,115,-0.16,232,-0.42
George King,39,-0.19,42,-0.43,81,-0.62
Josh Richardson,3179,0.61,3182,-0.31,6361,0.3
Cameron Johnson,3540,0.15,3566,0.96,7106,1.1
Jakob Poeltl,4014,2.79,4024,-0.73,8038,2.06
Sam Hauser,317,0.03,318,0.0,635,0.03
Damion Lee,2536,-0.36,2515,-0.23,5051,-0.59
Justin Holiday,4150,0.02,4141,-1.09,8291,-1.07
Ivica Zubac,3711,0.51,3704,-1.43,7415,-0.92
Tobias Harris,4989,0.8,4994,-0.17,9983,0.63
Rob Edwards,19,-0.28,23,0.04,42,-0.24
Brad Wanamaker,628,-0.43,637,0.03,1265,-0.4
Tyrese Maxey,5206,0.91,5192,-0.05,10398,0.86
Royce O'Neale,4798,0.58,4811,0.12,9609,0.7
Khris Middleton,4469,0.96,4425,0.01,8894,0.97
Isaiah Thomas,685,-0.27,671,0.07,1356,-0.2
Anthony Lamb,16,0.02,15,0.1,31,0.12
Zylan Cheatham,11,-0.3,11,-0.08,22,-0.38
JaMychal Green,2153,-0.93,2179,0.01,4332,-0.92
Domantas Sabonis,4298,0.38,4244,1.47,8542,1.85
Kessler Edwards,1999,0.59,2012,-1.46,4011,-0.87
Naji Marshall,1481,-0.78,1499,0.38,2980,-0.4
R.J. Hampton,2859,-2.76,2856,-1.53,5715,-4.29
Kyle Lowry,4236,0.65,4231,0.97,8467,1.62
Robert Woodard II,86,0.17,82,0.22,168,0.39
Justise Winslow,1591,0.64,1605,1.06,3196,1.7
